From,To,Label,Type,Tags,Description,Coaching Year Retired,Coaching Year Started,Current Position,First,Last,Playing Year Retired,Playing Year Started College,Wikipedia info,closeness,metrics::last,year retired
Dick Tomey,Rich Ellerson,,,,,,,,,,,,,,,
Greg Schiano,Mario Cristobal,,,,,,,,,,,,,,,
Dennis Green,Brian Billick,,,,,,,,,,,,,,,
Rick Forzano,Wayne Hardin,,,,,,,,,,,,,,,
Fielding Yost,Parke H. Davis,,,,,,,,,,,,,,,
Bruce Arians,Mike DuBose,,,,,,,,,,,,,,,
Tony Dungy,Rod Marinelli,,,,,,,,,,,,,,,
Hayden Fry,Jim Leavitt,,,,,,,,,,,,,,,
Major Applewhite,Tom Herman,,,,,,,,,,,,,,,
Leon Burtnett,Joe Tiller,,,,,,,,,,,,,,,
Doug Marrone,Herm Edwards,,,,,,,,,,,,,,,
John Harbaugh,Mike Pettine,,,,,,,,,,,,,,,
Jimbo Fisher,Mark Stoops,,,,,,,,,,,,,,,
Vic Fangio,John Harbaugh,,,,,,,,,,,,,,,
Adam Gase,John Fox,,,,,,,,,,,,,,,
Mark Dantonio,Bobby Williams,,,,,,,,,,,,,,,
Scott O'Brien,John Harbaugh,,,,,,,,,,,,,,,
Jon Gruden,Jay Gruden,,,,,,,,,,,,,,,
Nick Saban,Jason Garrett,,,,,,,,,,,,,,,
Wade Phillips,Marv Levy,,,,,,,,,,,,,,,
Sid Gillman,Chuck Knox,,,,,,,,,,,,,,,
George Seifert,Mike Shanahan,,,,,,,,,,,,,,,
Kyle Shanahan,Gary Kubiak,,,,,,,,,,,,,,,
Bo Schembechler,Paul Schudel,,,,,,,,,,,,,,,
Bob Wagner,Paul Johnson,,,,,,,,,,,,,,,
Manny Diaz,Dan Mullen,,,,,,,,,,,,,,,
"Glenn ""Pop"" Warner",Andy Gustafson,,,,,,,,,,,,,,,
Kevin Sumlin,Tony Levine,,,,,,,,,,,,,,,
Don Coryell,Joe Gibbs,,,,,,,,,,,,,,,
Pepper Rodgers,Ben Martin,,,,,,,,,,,,,,,
John Harbaugh,Tim Murphy,,,,,,,,,,,,,,,
Dick Crum,Bob Stoops,,,,,,,,,,,,,,,
Vince Lombardi,Red Blaik,,,,,,,,,,,,,,,
Tyrone Wheatley,Jim Harbaugh,,,,,,,,,,,,,,,
Brian Billick,Mike Smith,,,,,,,,,,,,,,,
Vic Fangio,Matt Nagy,,,,,,,,,,,,,,,
Ron McBride,Greg McMackin,,,,,,,,,,,,,,,
Kurt Mallory,Bo Schembechler,,,,,,,,,,,,,,,
Bill Cowher,Russ Grimm,,,,,,,,,,,,,,,
Mike Leach,Art Briles,,,,,,,,,,,,,,,
Jack Del Rio,Mike Ditka,,,,,,,,,,,,,,,
Russ Grimm,Ken Whisenhunt,,,,,,,,,,,,,,,
Sean McVay,Zac Taylor,,,,,,,,,,,,,,,
Anthony Lynn,Bill Parcells,,,,,,,,,,,,,,,
Bo Schembechler,Don Nehlen,,,,,,,,,,,,,,,
Art Shell,John Madden,,,,,,,,,,,,,,,
Ted Marchibroda,Marv Levy,,,,,,,,,,,,,,,
Tom Landry,Mike Ditka,,,,,,,,,,,,,,,
Marvin Lewis,Bob Surace,,,,,,,,,,,,,,,
Chuck Noll,Sid Gillman,,,,,,,,,,,,,,,
Larry Smith,Chuck Amato,,,,,,,,,,,,,,,
George Seifert,Jeff Fisher,,,,,,,,,,,,,,,
Bill Walsh,Jim Fassel,,,,,,,,,,,,,,,
Ara Parseghian,John Pont,,,,,,,,,,,,,,,
Norv Turner,Ernie Zampese,,,,,,,,,,,,,,,
Jim Colletto,Greg Robinson,,,,,,,,,,,,,,,
Hayden Fry,Chuck Long,,,,,,,,,,,,,,,
Bruce Arians,Bob Tyler,,,,,,,,,,,,,,,
Carm Cozza,Bob Shoop,,,,,,,,,,,,,,,
Lloyd Carr,Bo Schembechler,,,,,,,,,,,,,,,
Mark Dantonio,Jim Tressel,,,,,,,,,,,,,,,
Mike Mularkey,Ron Prince,,,,,,,,,,,,,,,
Buck Shaw,Knute Rockne,,,,,,,,,,,,,,,
Major Applewhite,Greg Robinson,,,,,,,,,,,,,,,
Josh Gattis,Jim Harbaugh,,,,,,,,,,,,,,,
Jim Tressel,Paul Haynes,,,,,,,,,,,,,,,
Steve Belichick,George Barclay,,,,,,,,,,,,,,,
Ken Whisenhunt,Anthony Lynn,,,,,,,,,,,,,,,
Hayden Fry,Bret Bielema,,,,,,,,,,,,,,,
Paul Hackett,Mike McCarthy,,,,,,,,,,,,,,,
Fritz Crisler,Amos Alonzo Stagg,,,,,,,,,,,,,,,
Al Groh,Bill Belichick,,,,,,,,,,,,,,,
Mike Vrabel,Matt LaFleur,,,,,,,,,,,,,,,
Bear Bryant,Bill Battle,,,,,,,,,,,,,,,
Bill Cowher,Marvin Lewis,,,,,,,,,,,,,,,
Gary Barnett,Gregg Brandon,,,,,,,,,,,,,,,
Steve Belichick,Bill Edwards,,,,,,,,,,,,,,,
Gary Moeller,Les Miles,,,,,,,,,,,,,,,
Tom Reed,Don Treadwell,,,,,,,,,,,,,,,
Tom Reed,Ty Willingham,,,,,,,,,,,,,,,
Ernie Zampese,John Robinson,,,,,,,,,,,,,,,
Andy Reid,Todd Bowles,,,,,,,,,,,,,,,
John Harbaugh,Gary Kubiak,,,,,,,,,,,,,,,
Bo Schembechler,Cam Cameron,,,,,,,,,,,,,,,
Les Miles,Frank Wilson,,,,,,,,,,,,,,,
Sean McDermott,Ron Rivera,,,,,,,,,,,,,,,
Pete Carroll,Kay Stephenson,,,,,,,,,,,,,,,
John Robinson,John McKay,,,,,,,,,,,,,,,
Chuck Pagano,Jim Harbaugh,,,,,,,,,,,,,,,
Marty Schottenheimer,Mike McCarthy,,,,,,,,,,,,,,,
Dan Quinn,Nick Saban,,,,,,,,,,,,,,,
Frank A. Mason,George Adams,,,,,,,,,,,,,,,
Bob Wagner,Mike Sewak,,,,,,,,,,,,,,,
Adam Gase,Josh McDaniels,,,,,,,,,,,,,,,
Nick Saban,Will Muschamp,,,,,,,,,,,,,,,
Wade Phillips,Sean McVay,,Head coach-assistant coach,,,,,,,,,,,,,
Earle Bruce,Jim Tressel,,,,,,,,,,,,,,,
Mike Tomlin,Jon Gruden,,,,,,,,,,,,,,,
Jack Del Rio,John Fox,,,,,,,,,,,,,,,
Jim Schwartz,Ted Marchibroda,,,,,,,,,,,,,,,
Jon Gruden,Gus Bradley,,,,,,,,,,,,,,,
Mike Riley,Mike White,,,,,,,,,,,,,,,
Mike Riley,Bear Bryant,,,,,,,,,,,,,,,
Mike Leach,Hal Mumme,,,,,,,,,,,,,,,
Sean Payton,Dennis Allen,,,,,,,,,,,,,,,
Dirk Koetter,Chris Petersen,,,,,,,,,,,,,,,
Bill Parcells,Tony Sparano,,,,,,,,,,,,,,,
Scott Linehan,Dennis Erickson,,,,,,,,,,,,,,,
Sean Payton,Jim Fassel,,,,,,,,,,,,,,,
Rod Marinelli,Adam Gase,,,,,,,,,,,,,,,
Rick Stockstill,Manny Diaz,,,,,,,,,,,,,,,
Ray Graves,Steve Spurrier,,,,,,,,,,,,,,,
Frank W. Thomas,"Harold ""Red"" Drew",,,,,,,,,,,,,,,
Chris Petersen,Jeff Choate,,,,,,,,,,,,,,,
Ara Parseghian,Clive Rush,,,,,,,,,,,,,,,
Ron Rivera,Norv Turner,,,,,,,,,,,,,,,
Ron McBride,Rick Rasnik,,,,,,,,,,,,,,,
Dan Quinn,Eric Mangini,,,,,,,,,,,,,,,
Doc Urich,Sam Sanders,,,,,,,,,,,,,,,
Doug Marrone,Tyrone Wheatley,,,,,,,,,,,,,,,
Ted Marchibroda,Bill Belichick,,,,,,,,,,,,,,,
Don James,Bump Elliott,,,,,,,,,,,,,,,
Russ Grimm,Norv Turner,,,,,,,,,,,,,,,
George Rich,Woody Hayes,,,,,,,,,,,,,,,
Jim Harbaugh,John Harbaugh,,Family,,,,,,,,,,,,,
Marvin Lewis,Leslie Frazier,,,,,,,,,,,,,,,
Bo Schembechler,Joe Novak,,,,,,,,,,,,,,,
Bennie Oosterbaan,Fielding Yost,,,,,,,,,,,,,,,
Dick Tomey,Rob Ianello,,,,,,,,,,,,,,,
Tony Dungy,Herm Edwards,,,,,,,,,,,,,,,
Mike Leach,Jeff Choate,,,,,,,,,,,,,,,
Mike Holmgren,Marty Mornhinweg,,,,,,,,,,,,,,,
Bo Pelini,Carl Pelini,,,,,,,,,,,,,,,
Freddie Kitchens,Bruce Arians,,,,,,,,,,,,,,,
Vic Fangio,John Fox,,,,,,,,,,,,,,,
Hayden Fry,Bob Diaco,,,,,,,,,,,,,,,
Joe Tiller,Danny Hope,,,,,,,,,,,,,,,
Woody Hayes,Gary Moeller,,,,,,,,,,,,,,,
Jon Gruden,Kyle Shanahan,,,,,,,,,,,,,,,
Bill McCartney,Bob Simmons,,,,,,,,,,,,,,,
Knute Rockne,Frank W. Thomas,,,,,,,,,,,,,,,
Barry Switzer,Brad Lambert,,,,,,,,,,,,,,,
Dave McClain,Moe Ankney,,,,,,,,,,,,,,,
Freddie Kitchens,Bill Parcells,,,,,,,,,,,,,,,
Vince Lombardi,Frank Leahy,,,,,,,,,,,,,,,
Jon Gruden,Mike Tomlin,,,,,,,,,,,,,,,
Marty Schottenheimer,Lindy Infante,,,,,,,,,,,,,,,
Sid Gillman,George Allen,,,,,,,,,,,,,,,
Brad Childress,Barry Alvarez,,,,,,,,,,,,,,,
Marty Schottenheimer,Dale Lindsey,,,,,,,,,,,,,,,
Mike Zimmer,Chan Gailey,,,,,,,,,,,,,,,
Walter Camp,"Henry L. ""Doc"" Williams",,,,,,,,,,,,,,,
Lou Holtz,Urban Meyer,,,,,,,,,,,,,,,
Carm Cozza,Jim Root,,,,,,,,,,,,,,,
Pete Carroll,Greg Robinson,,,,,,,,,,,,,,,
Frank Broyles,Barry Switzer,,,,,,,,,,,,,,,
Joe Novak,P. J. Fleck,,,,,,,,,,,,,,,
Rick Forzano,Bill Belichick,,Head coach-lowly assistant,,,,,,,,,,,,,
Adam Gase,Nick Saban,,,,,,,,,,,,,,,
Mike Tomlin,Brad Childress,,,,,,,,,,,,,,,
Chuck Knox,Joe Vitt,,,,,,,,,,,,,,,
Jim Harbaugh,Brian Polian,,,,,,,,,,,,,,,
Mark Dantonio,Jim Carlen,,,,,,,,,,,,,,,
Bear Bryant,Gene Stallings,,,,,,,,,,,,,,,
Pete Carroll,Lane Kiffin,,,,,,,,,,,,,,,
Tony Dungy,Dennis Green,,,,,,,,,,,,,,,
Bill Belichick,Brian Flores,,,,,,,,,,,,,,,
Pete Carroll,Monte Kiffin,,,,,,,,,,,,,,,
Hayden Fry,Bo Pelini,,,,,,,,,,,,,,,
Pete Carroll,Bruce Coslet,,,,,,,,,,,,,,,
Ron McBride,Gary Andersen,,,,,,,,,,,,,,,
Mike Holmgren,Steve Mariucci,,,,,,,,,,,,,,,
Gary Moeller,Cam Cameron,,,,,,,,,,,,,,,
Lloyd Carr,Gary Moeller,,,,,,,,,,,,,,,
Ron McBride,Kyle Whittingham,,,,,,,,,,,,,,,
John Harbaugh,Rex Ryan,,,,,,,,,,,,,,,
Mark Dantonio,Glen Mason,,,,,,,,,,,,,,,
Charlie Weis,Bill Belichick,,Head coach-assistant coach,,,,,,,,,,,,,
Bruce Arians,Bill Cowher,,,,,,,,,,,,,,,
Bernie Bierman,"Robert S. ""Bob"" Carlson",,,,,,,,,,,,,,,
Knute Rockne,Charles Brickley,,,,,,,,,,,,,,,
Jim Harbaugh,Scott Shafer,,,,,,,,,,,,,,,
Sid Gillman,Dick Vermeil,,,,,,,,,,,,,,,
Bob Wagner,Ken Niumatalolo,,,,,,,,,,,,,,,
Woody Hayes,Bill Mallory,,,,,,,,,,,,,,,
Mark Dantonio,Jim Dennison,,,,,,,,,,,,,,,
Sean Payton,Ray Rhodes,,,,,,,,,,,,,,,
Steve Owen,Jim Lee Howell,,,,,,,,,,,,,,,
Jack Del Rio,Dirk Koetter,,,,,,,,,,,,,,,
Ed Orgeron,Hugh Freeze,,,,,,,,,,,,,,,
Mike Mularkey,Bill Cowher,,,,,,,,,,,,,,,
Bump Elliott,Fritz Crisler,,,,,,,,,,,,,,,
Weeb Ewbank,Buddy Ryan,,,,,,,,,,,,,,,
Andy Reid,Doug Pederson,,,,,,,,,,,,,,,
Tim Beckman,Matt Campbell,,,,,,,,,,,,,,,
Anthony Lynn,Romeo Crennel,,,,,,,,,,,,,,,
Jim Young,Larry Smith,,,,,,,,,,,,,,,
Steve Mariucci,Marty Mornhinweg,,,,,,,,,,,,,,,
Forrest Gregg,Dick Jauron,,,,,,,,,,,,,,,
Bobby Dodd,Bob Neyland,,,,,,,,,,,,,,,
Terry Robiskie,John Madden,,,,,,,,,,,,,,,
Jim L Mora,Al Saunders,,,,,,,,,,,,,,,
Mike Ditka,Jim Harbaugh,,,,,,,,,,,,,,,
Tony Dungy,Monte Kiffin,,,,,,,,,,,,,,,
Monte Kiffin,Rod Marinelli,,,,,,,,,,,,,,,
Greg Schiano,Brian Jenkins,,,,,,,,,,,,,,,
Pepper Rodgers,Ray Graves,,,,,,,,,,,,,,,
Buck Shaw,Clipper Smith,,,,,,,,,,,,,,,
Dirk Koetter,Dan Hawkins,,,,,,,,,,,,,,,
Chris Palmer,Tom Coughlin,,,,,,,,,,,,,,,
Hayden Fry,Jay Norvell,,,,,,,,,,,,,,,
Dave McClain,Mike Faragalli,,,,,,,,,,,,,,,
Mike Zimmer,Barry Switzer,,,,,,,,,,,,,,,
Dennis Green,Mike Tice,,,,,,,,,,,,,,,
Rex Ryan,Brian Billick,,,,,,,,,,,,,,,
Nick Saban,Frank Cignetti,,,,,,,,,,,,,,,
Mike Leach,Sonny Dykes,,,,,,,,,,,,,,,
Bruce Arians,Bear Bryant,,,,,,,,,,,,,,,
Frank Leahy,Knute Rockne,,,,,,,,,,,,,,,
Norv Turner,John Robinson,,,,,,,,,,,,,,,
Frank Broyles,Johnny Majors,,,,,,,,,,,,,,,
Forest Evashevski,Fritz Crisler,,,,,,,,,,,,,,,
Frank W. Thomas,Harry J. Mehre,,,,,,,,,,,,,,,
Paul J. Amen,"Lawrence ""Biff"" Jones",,,,,,,,,,,,,,,
Vic Fangio,Jim E Mora,,,,,,,,,,,,,,,
Bill McCartney,Gerry DiNardo,,,,,,,,,,,,,,,
Dave Clawson,Dave Cohen,,,,,,,,,,,,,,,
James Franklin,Josh Gattis,,,,,,,,,,,,,,,
John Harbaugh,Vic Fangio,,,,,,,,,,,,,,,
Bill Belichick,Matt Patricia,,,,,,,,,,,,,,,
Bob Stoops,Mark Mangino,,,,,,,,,,,,,,,
Bo Schembechler,Jack Harbaugh,,Head coach-assistant coach,,,,,,,,,,,,,
Tom Flores,Terry Robiskie,,,,,,,,,,,,,,,
Wayne Hardin,Eddie Erdelatz,,,,,,,,,,,,,,,
Les Miles,Jimbo Fisher,,,,,,,,,,,,,,,
Raymond Berry,Tom Landry,,,,,,,,,,,,,,,
Woody Hayes,Glen Mason,,,,,,,,,,,,,,,
Al Davis,Bill Walsh,,,,,,,,,,,,,,,
Bill Cowher,Dick LeBeau,,,,,,,,,,,,,,,
Marv Levy,Bobby Ross,,,,,,,,,,,,,,,
Bill Narduzzi,Pat Narduzzi,,,,,,,,,,,,,,,
John Mazur,Rich Kotite,,,,,,,,,,,,,,,
Jerry Frei,Len Casanova,,,,,,,,,,,,,,,
Chris Petersen,Justin Wilcox,,,,,,,,,,,,,,,
Alexander S. Lilley,"F. William ""John"" Rane",,,,,,,,,,,,,,,
Bruce Arians,Emory Bellard,,,,,,,,,,,,,,,
Freddie Kitchens,Nick Saban,,,,,,,,,,,,,,,
Bobby Dodd,Frank Broyles,,,,,,,,,,,,,,,
Paul J. Amen,Bill Hildebrand,,,,,,,,,,,,,,,
John Mackovic,Bill Tate,,,,,,,,,,,,,,,
Jim Zorn,Jack Patera,,,,,,,,,,,,,,,
Mike Zimmer,Marvin Lewis,,,,,,,,,,,,,,,
Dan Quinn,Kyle Shanahan,,,,,,,,,,,,,,,
Bill Pace,Mack Brown,,,,,,,,,,,,,,,
Vince Lombardi,"Jim ""Sleepy"" Crowley",,,,,,,,,,,,,,,
Bill Parcells,Mike Zimmer,,,,,,,,,,,,,,,
Woody Hayes,Bo Rein,,,,,,,,,,,,,,,
Woody Hayes,Earle Bruce,,,,,,,,,,,,,,,
Nick Saban,Gary Tranquill,,,,,,,,,,,,,,,
Sean McVay,Jay Gruden,,,,,,,,,,,,,,,
Rick Forzano,Don McCafferty,,,,,,,,,,,,,,,
Pete Carroll,Walt Harris,,,,,,,,,,,,,,,
John Fox,Art Shell,,,,,,,,,,,,,,,
"Henry L. ""Doc"" Williams",Bernie Bierman,,,,,,,,,,,,,,,
Ernie Nevers,"Glenn ""Pop"" Warner",,,,,,,,,,,,,,,
Barry Switzer,Gary Gibbs,,,,,,,,,,,,,,,
"William ""Bill"" Alexander",Bobby Dodd,,,,,,,,,,,,,,,
Jim Schwartz,Bill Belichick,,,,,,,,,,,,,,,
Paul Brown,Weeb Ewbank,,,,,,,,,,,,,,,
Marty Schottenheimer,Herm Edwards,,,,,,,,,,,,,,,
Ernie Zampese,Joe Gibbs,,,,,,,,,,,,,,,
Don Brown,Jim Harbaugh,,,,,,,,,,,,,,,
Jim Thorpe,"Glenn ""Pop"" Warner",,,,,,,,,,,,,,,
Jason Garrett,Wade Phillips,,,,,,,,,,,,,,,
Bruce Arians,Chuck Pagano,,,,,,,,,,,,,,,
Sam Wyche,Bruce Coslet,,,,,,,,,,,,,,,
Marvin Lewis,Mike Smith,,,,,,,,,,,,,,,
Kirk Ferentz,Bill Belichick,,,,,,,,,,,,,,,
Sid Gillman,Francis Schmidt,,,,,,,,,,,,,,,
Bill Walsh,George Seifert,,,,,,,,,,,,,,,
Ray Graves,John Barnhill,,,,,,,,,,,,,,,
Mike Mularkey,Nick Saban,,,,,,,,,,,,,,,
George Adams,"Marshall ""Ma"" Newell",,,,,,,,,,,,,,,
Mike Vrabel,Bill Belichick,,Head coach-player,,,,,,,,,,,,,
Mike Ditka,George Halas,,,,,,,,,,,,,,,
Andy Reid,Pat Shurmur,,,,,,,,,,,,,,,
Nick Saban,Derek Dooley,,,,,,,,,,,,,,,
Dennis Green,Lovie Smith,,,,,,,,,,,,,,,
Bo Schembechler,Dave McClain,,,,,,,,,,,,,,,
Jim Tressel,Mark Mangino,,,,,,,,,,,,,,,
John Pont,Nick Mourouzis,,,,,,,,,,,,,,,
Mike Mularkey,Dan Quinn,,,,,,,,,,,,,,,
Sam Wyche,Mike Mularkey,,,,,,,,,,,,,,,
Chris Petersen,Sean Kugler,,,,,,,,,,,,,,,
Carm Cozza,Bill Narduzzi,,,,,,,,,,,,,,,
Jim Harbaugh,Mike Riley,,,,,,,,,,,,,,,
Ara Parseghian,Ed Biles,,,,,,,,,,,,,,,
Hayden Fry,Barry Alvarez,,,,,,,,,,,,,,,
Andy Gustafson,Don James,,,,,,,,,,,,,,,
Mike Tomlin,Scottie Montgomery,,,,,,,,,,,,,,,
Andy Reid,Steve Spagnuolo,,,,,,,,,,,,,,,
Rick Minter,Rex Ryan,,,,,,,,,,,,,,,
Frank Broyles,Jimmy Johnson,,,,,,,,,,,,,,,
Dirk Koetter,Brent Guy,,,,,,,,,,,,,,,
Dan Quinn,Dennis Erickson,,,,,,,,,,,,,,,
Jason Garrett,Barry Switzer,,,,,,,,,,,,,,,
Pat Shurmur,Mike Zimmer,,,,,,,,,,,,,,,
Bear Bryant,Jerry Claiborne,,,,,,,,,,,,,,,
Fielding Yost,Harry McCrory,,,,,,,,,,,,,,,
Woody Hayes,Lou Holtz,,,,,,,,,,,,,,,
Matt LaFleur,Sean McVay,,Head coach-assistant coach,,,,,,,,,,,,,
John Harbaugh,Ray Rhodes,,,,,,,,,,,,,,,
Rick Neuheisel,Karl Dorrell,,,,,,,,,,,,,,,
Dick Tomey,Bob Wagner,,,,,,,,,,,,,,,
Barry Switzer,Chuck Fairbanks,,,,,,,,,,,,,,,
George Allen,Marv Levy,,,,,,,,,,,,,,,
Jim L Mora,Don Coryell,,,,,,,,,,,,,,,
Bill Cowher,Dom Capers,,,,,,,,,,,,,,,
Glen Mason,Kevin Sumlin,,,,,,,,,,,,,,,
Bill McCartney,Lou Tepper,,,,,,,,,,,,,,,
Bill Belichick,Romeo Crennel,,,,,,,,,,,,,,,
Mike Nolan,Norv Turner,,,,,,,,,,,,,,,
Bob Stoops,Bill Snyder,,,,,,,,,,,,,,,
Hayden Fry,Mark Stoops,,,,,,,,,,,,,,,
Dan Quinn,Jim L Mora,,,,,,,,,,,,,,,
Paul Hackett,Jon Gruden,,,,,,,,,,,,,,,
Dick Vermeil,Mike Martz,,,,,,,,,,,,,,,
Ara Parseghian,Ed Chlebek,,,,,,,,,,,,,,,
Jim Harbaugh,Bo Schembechler,,,,,,,,,,,,,,,
Pat Shurmur,Chip Kelly,,,,,,,,,,,,,,,
Jim Tressel,Mark Snyder,,,,,,,,,,,,,,,
Bobby Dodd,Pepper Rodgers,,,,,,,,,,,,,,,
Clive Rush,John Mazur,,,,,,,,,,,,,,,
Mike Shanahan,Gary Kubiak,,,,,,,,,,,,,,,
Frank Maloney,Tom Coughlin,,,,,,,,,,,,,,,
Fielding Yost,George Rich,,,,,,,,,,,,,,,
Monte Kiffin,Lane Kiffin,,,,,,,,,,,,,,,
Tom Herman,Urban Meyer,,,,,,,,,,,,,,,
Mark Dantonio,Dan Enos,,,,,,,,,,,,,,,
Bo Schembechler,Gary Moeller,,Head coach-assistant coach,,,,,,,,,,,,,
Bruce Arians,Mike Tomlin,,,,,,,,,,,,,,,
Marvin Lewis,Jay Gruden,,,,,,,,,,,,,,,
John Harbaugh,Jim Caldwell,,,,,,,,,,,,,,,
Mike Holmgren,Mike Sherman,,,,,,,,,,,,,,,
John Heisman,E.O. “Woody” Wagenhorst,,,,,,,,,,,,,,,
Leon Burtnett,Stan Parrish,,,,,,,,,,,,,,,
Earle Bruce,Mark Dantonio,,,,,,,,,,,,,,,
Paul Hackett,Ed Orgeron,,,,,,,,,,,,,,,
Monte Kiffin,Lovie Smith,,,,,,,,,,,,,,,
Bear Bryant,Pat Dye,,,,,,,,,,,,,,,
Earle Bruce,Glen Mason,,,,,,,,,,,,,,,
Steve Belichick,Bill Belichick,,Family,,,,,,,,,,,,,
Frank Reich,Jim Caldwell,,,,,,,,,,,,,,,
Gunther Cunningham,Herm Edwards,,,,,,,,,,,,,,,
Marvin Lewis,Ted Marchibroda,,,,,,,,,,,,,,,
Ernie Zampese,Mike Martz,,,,,,,,,,,,,,,
Bear Bryant,Jim Owens,,,,,,,,,,,,,,,
Bo Schembechler,Larry Smith,,,,,,,,,,,,,,,
George Adams,George A. Stewart,,,,,,,,,,,,,,,
Steve Spurrier,Rick Stockstill,,,,,,,,,,,,,,,
Pat Hill,Jim McElwain,,,,,,,,,,,,,,,
Mack Brown,Greg Robinson,,,,,,,,,,,,,,,
Weeb Ewbank,Chuck Knox,,,,,,,,,,,,,,,
Jon Gruden,Ray Rhodes,,,,,,,,,,,,,,,
Jim Tressel,Darrell Hazell,,,,,,,,,,,,,,,
Bob Stoops,Kevin Sumlin,,,,,,,,,,,,,,,
Nick Saban,Bill Belichick,,Head coach-assistant coach,,,,,,,,,,,,,
Pete Carroll,Nick Holt,,,,,,,,,,,,,,,
Jesse Harper,Knute Rockne,,,,,,,,,,,,,,,
Gary Moeller,Darrell Dickey,,,,,,,,,,,,,,,
Dick Tomey,Pat Hill,,,,,,,,,,,,,,,
Ara Parseghian,Doc Urich,,,,,,,,,,,,,,,
Bill Arnsparger,Marty Schottenheimer,,,,,,,,,,,,,,,
Marty Schottenheimer,Wade Phillips,,,,,,,,,,,,,,,
Bear Bryant,Danny Ford,,,,,,,,,,,,,,,
Bill Callahan,Jim Harbaugh,,,,,,,,,,,,,,,
Earle Bruce,Bo Pelini,,,,,,,,,,,,,,,
Mark Dantonio,Pat Narduzzi,,,,,,,,,,,,,,,
Bob Stoops,Mike Stoops,,,,,,,,,,,,,,,
Marty Schottenheimer,Tony Dungy,,,,,,,,,,,,,,,
Tommy Prothro,Red Sanders,,,,,,,,,,,,,,,
Tom Reed,Jim Tressel,,,,,,,,,,,,,,,
Bill Parcells,Sean Payton,,,,,,,,,,,,,,,
Mark Dantonio,Nick Saban,,,,,,,,,,,,,,,
Chuck Stobart,John Fox,,,,,,,,,,,,,,,
Urban Meyer,Chris Ash,,,,,,,,,,,,,,,
Woody Hayes,Fred Bruney,,,,,,,,,,,,,,,
Bill Walsh,Sam Wyche,,,,,,,,,,,,,,,
Bill Parcells,Chris Palmer,,,,,,,,,,,,,,,
Jim Lee Howell,Tom Landry,,,,,,,,,,,,,,,
Bo Schembechler,Joe Galat,,,,,,,,,,,,,,,
Amos Alonzo Stagg,Walter Camp,,,,,,,,,,,,,,,
Gary Moeller,Rick Venturi,,,,,,,,,,,,,,,
Bo Schembechler,George Mans,,,,,,,,,,,,,,,
Russ Grimm,Joe Gibbs,,,,,,,,,,,,,,,
Barry Switzer,Jim Donnan,,,,,,,,,,,,,,,
Steve Spurrier,John McKay,,,,,,,,,,,,,,,
Bill Pace,Chuck Fairbanks,,,,,,,,,,,,,,,
Tom Flores,John Madden,,,,,,,,,,,,,,,
Woody Hayes,Doyt Perry,,,,,,,,,,,,,,,
Bill Cowher,Jim Haslett,,,,,,,,,,,,,,,
Major Applewhite,Todd Graham,,,,,,,,,,,,,,,
Jack Harbaugh,Jim Harbaugh,,++,,,,,,,,,,,,,
Bruce Arians,Todd Bowles,,,,,,,,,,,,,,,